nouns:,"('day', 1.294)","('eyes', 1.085)","('flowers', 1.063)","('night', 0.921)","('people', 0.899)"
verbs:,"('said', 3.398)","('know', 2.299)","('went', 2.096)","('looked', 1.555)","('thought', 1.504)"
adjectives:,"('little', 10.265)","('old', 4.296)","('good', 2.772)","('great', 1.723)","('poor', 1.548)"
adverbs:,"('away', 9.975)","('long', 3.616)","('far', 3.491)","('pretty', 2.993)","('home', 2.369)"
pronouns:,"('anybody', 21.429)","('everybody', 21.429)","('theirs', 14.286)","('sure,—you', 7.143)","('delf', 7.143)"
proper nouns:,"('Bébée', 19.706)","('Jeannot', 2.89)","('Antoine', 2.365)","('God', 2.312)","('Paris', 2.102)"
auxiliaries:,"('was', 22.334)","('had', 17.393)","('is', 12.224)","('were', 7.347)","('be', 7.022)"
coordinating conjunctions:,"('and', 80.82)","('but', 12.053)","('or', 5.751)","('nor', 0.734)","('yet', 0.214)"
subordinating conjunctions: ,"('as', 31.487)","('that', 16.472)","('like', 11.152)","('if', 10.641)","('than', 6.778)"
determiners,"('the', 43.584)","('a', 15.205)","('her', 10.642)","('that', 6.462)","('all', 4.405)"
interjections,"('oh', 25.592)","('no', 19.431)","('yes', 19.431)","('well', 9.005)","('ah', 8.057)"
particles:,"('to', 44.461)","('not', 40.166)","(""'s"", 15.298)","('nt', 0.075)"
adpositions:,"('of', 22.89)","('in', 17.198)","('to', 10.59)","('with', 8.846)","('for', 6.414)"
